frequency_hz,amplitude_db,artist,title
10981.93359375,-42.07972,BhikariBal,Khyama
11003.466796875,-41.907646,BhikariBal,Khyama
11025.0,-41.940437,BhikariBal,Khyama
11046.533203125,-41.91332,BhikariBal,Khyama
11068.06640625,-41.901043,BhikariBal,Khyama
11089.599609375,-41.619263,BhikariBal,Khyama
11111.1328125,-41.441174,BhikariBal,Khyama
11132.666015625,-41.57186,BhikariBal,Khyama
11154.19921875,-41.534508,BhikariBal,Khyama
11175.732421875,-41.51019,BhikariBal,Khyama
11197.265625,-41.576088,BhikariBal,Khyama
11218.798828125,-41.607094,BhikariBal,Khyama
11240.33203125,-41.475395,BhikariBal,Khyama
11261.865234375,-41.15016,BhikariBal,Khyama
11283.3984375,-40.860764,BhikariBal,Khyama
11304.931640625,-40.958286,BhikariBal,Khyama
11326.46484375,-41.07408,BhikariBal,Khyama
11347.998046875,-40.98336,BhikariBal,Khyama
11369.53125,-40.959633,BhikariBal,Khyama
11391.064453125,-40.938545,BhikariBal,Khyama
11412.59765625,-41.02314,BhikariBal,Khyama
11434.130859375,-40.85099,BhikariBal,Khyama
11455.6640625,-40.72603,BhikariBal,Khyama
11477.197265625,-40.86267,BhikariBal,Khyama
11498.73046875,-41.017174,BhikariBal,Khyama
11520.263671875,-40.955254,BhikariBal,Khyama
11541.796875,-41.093807,BhikariBal,Khyama
11563.330078125,-41.26227,BhikariBal,Khyama
11584.86328125,-41.33661,BhikariBal,Khyama
11606.396484375,-41.096897,BhikariBal,Khyama
11627.9296875,-40.872948,BhikariBal,Khyama
11649.462890625,-41.29171,BhikariBal,Khyama
11670.99609375,-41.61949,BhikariBal,Khyama
11692.529296875,-41.738583,BhikariBal,Khyama
11714.0625,-41.98712,BhikariBal,Khyama
11735.595703125,-42.042397,BhikariBal,Khyama
11757.12890625,-41.90255,BhikariBal,Khyama
11778.662109375,-41.942413,BhikariBal,Khyama
11800.1953125,-41.755096,BhikariBal,Khyama
11821.728515625,-42.056084,BhikariBal,Khyama
11843.26171875,-42.783764,BhikariBal,Khyama
11864.794921875,-42.875717,BhikariBal,Khyama
11886.328125,-43.016914,BhikariBal,Khyama
11907.861328125,-42.934937,BhikariBal,Khyama
11929.39453125,-42.994953,BhikariBal,Khyama
11950.927734375,-43.029537,BhikariBal,Khyama
11972.4609375,-42.908173,BhikariBal,Khyama
11993.994140625,-42.749214,BhikariBal,Khyama
12015.52734375,-43.18335,BhikariBal,Khyama
12037.060546875,-43.380054,BhikariBal,Khyama
12058.59375,-43.683483,BhikariBal,Khyama
